Date,Time,Booking ID,Customer ID,Booking Status,Vehicle Type,Pickup Location,Drop Location,Vehicle Turn Around Time,Customer Turn Around Time,Cancelled Ride by Customer,Cancelled Ride by Driver,Reason of Cancellation By Customer,Reason of Cancellation By Driver,Incomplete Rides,Reason for Incomplete Ride,Booking Amount,Payment Method,Ride Distance,Driver rating,Customer rating,Driver ID,Wait Time,Surge Multiplier
2025-02-10,15:24:06,BIDICVM4UKQ,CIDSPZ3B6WQ,Completed,Sedan,Lake Lisatown,North Alejandrostad,16.49,12.51,No,No,None,None,Complete,None,58.29,Wallet,30.06,4.8,4.8,DIDYNVKCB5L,2.56,1.2
2024-11-09,05:36:38,BIDA7BMGJG8,CIDIG4OI5JR,Completed,Mini,Port Jeremyberg,Emilychester,6.92,11.52,No,No,None,None,Complete,None,383.83,Net Banking,14.73,4.7,3.4,DIDFIUCVF17,7.57,2.0
2024-12-01,16:46:51,BIDRYKO6NY3,CID5MAZ1661,Incomplete,Mini,Johnfort,Samuelbury,26.66,3.35,No,No,None,None,Incomplete,Route closed,711.11,Net Banking,46.96,4.5,4.0,DID67QZU5MY,1.03,1.0
2025-05-22,16:17:08,BIDX0GY0V8C,CIDYJ47D97Z,Completed,Sedan,Kennethburgh,East Austinberg,24.94,4.7,No,No,None,None,Complete,None,561.47,Net Banking,28.53,3.9,3.9,DIDLOCADMJF,18.22,2.0
2025-04-21,04:46:03,BIDSQ9QHQ89,CIDYM2BSKNN,Completed,Sedan,East Austinberg,Kimberlyfurt,19.64,6.76,No,No,None,None,Complete,None,255.75,Wallet,3.36,3.9,4.1,DID2VC6UNR5,3.39,2.0
2025-04-30,05:45:43,BIDQ6DEFT0L,CIDE09RYKBQ,Completed,Bike,Martinezmouth,Jonathanland,21.05,12.95,No,No,None,None,Complete,None,111.83,Credit Card,6.61,3.4,3.1,DID7W1YVWKZ,17.23,1.5
2025-04-22,09:04:53,BIDH89LUSPS,CIDHLZHCVZX,Completed,Mini,Andreachester,West Emily,21.26,13.72,No,No,None,None,Complete,None,794.47,Cash,18.92,4.5,4.6,DIDUI4R6FOF,11.46,1.0
2024-10-12,00:29:19,BIDJLKUC1XW,CID60RZKLM8,Completed,Bike,South Emmaview,Davisland,17.26,9.81,No,No,None,None,Complete,None,375.07,UPI,19.79,3.8,4.7,DID1XVC5DZQ,3.55,1.2
2024-12-24,06:00:57,BIDIICG47JC,CIDUL6RXJER,Incomplete,Sedan,New Kristin,South Anthonymouth,22.07,13.35,No,No,None,None,Incomplete,None,664.23,Wallet,49.05,4.5,3.3,DIDO5X0LJFT,1.42,1.0
2025-06-08,12:25:47,BIDYGMIF78G,CID4MCL1PV5,Completed,Mini,Stephenmouth,Jonesberg,21.69,10.01,No,No,None,None,Complete,None,83.21,Cash,3.56,3.8,3.3,DIDK2LGN4P6,16.17,1.0
2024-09-08,13:11:16,BIDUVGLDB4P,CID9JQEGMQ6,Completed,Mini,South Anthonymouth,Davistown,25.45,12.01,No,No,None,None,Complete,None,612.93,Net Banking,12.26,3.5,4.8,DID71XYVXA8,9.43,1.0
2025-03-08,23:57:20,BID4NJGR110,CID2NSWZ70D,Completed,Mini,New Kevinberg,Port Mackenzie,11.08,11.85,No,No,None,None,Complete,None,277.07,Net Banking,44.1,4.0,3.1,DIDIHHZA6O3,7.32,2.0
2024-12-23,04:56:29,BIDFM0KGZ7E,CIDL29S2F77,Completed,SUV,Emilychester,Port Carltown,10.82,8.08,No,No,None,None,Complete,None,119.11,Credit Card,8.72,3.8,3.4,DIDDEOYMNA1,5.8,1.5
2024-08-16,21:08:32,BIDXPBLQ4N9,CIDV9M70AZD,Completed,Auto,New Harold,Kennethburgh,11.34,10.16,No,No,None,None,Complete,None,680.35,UPI,13.93,4.8,3.3,DIDAILJRXJN,5.52,1.5
2024-10-05,09:33:45,BID8HGY22OE,CIDPSASAS9G,Completed,Bike,Clineburgh,Gibsonport,21.62,13.97,No,No,None,None,Complete,None,530.16,UPI,28.8,4.1,3.6,DIDDKJ640XE,13.11,1.0
2024-11-09,00:43:17,BIDJJY0HEJW,CID04P1W6Y5,Completed,Bike,Jonesberg,Port Mackenzie,14.27,2.38,No,No,None,None,Complete,None,607.05,Cash,36.79,3.5,4.5,DIDIEEXK0WX,2.15,2.0
2024-11-13,00:11:18,BIDRWIC4NKL,CIDT06TN70Z,Cancelled,Auto,Kimberlyfurt,Stanleyton,8.16,11.2,Yes,No,Change of plans,None,Complete,None,52.28,Credit Card,37.3,4.2,3.5,DIDZYD1ZANH,12.08,2.0
2024-10-29,11:26:13,BIDVPDNVUZZ,CID7OCNJOQR,Completed,Mini,Stanleyton,North Brian,28.31,3.15,No,No,None,None,Complete,None,276.67,UPI,47.54,3.3,4.6,DID33SFA7Y6,16.42,1.0
2025-02-18,23:13:27,BIDSXQA539T,CIDK5Q5O3V9,Completed,Sedan,Kennethburgh,East Christopher,21.92,2.58,No,No,None,None,Complete,None,595.95,Credit Card,36.67,3.4,3.8,DIDPB5O87OO,14.92,1.0
2024-08-11,13:23:54,BID5SVQP9PN,CIDJ2B6RLJB,Completed,Sedan,Davisland,Moorefurt,8.43,11.48,No,No,None,None,Complete,None,339.46,Credit Card,2.53,3.4,3.3,DID234GRX51,9.47,1.0
2024-09-28,10:55:36,BIDC8C61N0K,CID7BQ95E6X,Cancelled,Bike,Simpsontown,Stanleyton,7.56,7.72,No,Yes,None,Stuck in traffic,Complete,None,435.1,Cash,44.48,4.7,3.0,DID0WCEVWVF,10.56,1.0
2024-07-12,15:13:03,BIDE0YN0H23,CIDGERATN5J,Cancelled,Auto,Robertsmouth,Jonathanland,16.63,14.91,No,Yes,None,Other,Complete,None,291.02,Credit Card,11.54,4.1,3.8,DID6C5GIR8D,9.35,1.5
2024-06-23,05:43:31,BIDVNUVHRAS,CIDPPT1JJEM,Completed,Sedan,Stephenmouth,Katieland,16.13,6.85,No,No,None,None,Complete,None,686.42,Net Banking,1.19,4.1,3.4,DID0ELOE1S3,14.17,2.0
2024-09-15,11:03:48,BID3CPLA8P0,CIDLA98TPFB,Completed,Sedan,Jonesberg,New Kevinberg,9.51,11.02,No,No,None,None,Complete,None,480.81,UPI,16.08,4.9,4.6,DID0CY5GPUI,5.78,1.5
2024-12-05,01:36:47,BIDAGGR6OIO,CIDQRAUDU2U,Completed,Mini,West Douglas,Christineton,19.95,3.53,No,No,None,None,Complete,None,638.67,Cash,11.35,4.4,4.3,DIDGCJMD9N8,16.84,1.0
2025-05-23,18:41:43,BIDZKVZUFFS,CIDIWVK4LD4,Completed,Sedan,New Kristin,Johnfort,7.05,4.09,No,No,None,None,Complete,None,568.89,Net Banking,6.17,4.3,3.9,DIDXV4M2AK9,10.8,2.0
2025-05-09,00:53:20,BID68BJQXVB,CIDJAJUX2BX,Completed,Auto,East Christopher,Samuelbury,24.62,14.86,No,No,None,None,Complete,None,143.34,Cash,33.66,4.5,4.6,DIDBBC3U20A,9.79,1.0
2025-05-03,03:28:10,BIDBSQWB4F4,CIDUGGT2LPW,Completed,SUV,Harrisshire,Moorefurt,18.76,4.93,No,No,None,None,Complete,None,582.62,Net Banking,7.11,3.5,4.7,DIDAIFXQAE7,11.57,2.0
2025-01-14,21:31:18,BID2UI8MWU6,CIDOF786KWO,Completed,SUV,Samuelbury,Port Mackenzie,25.3,10.97,No,No,None,None,Complete,None,799.76,UPI,25.18,4.3,4.4,DIDWR3JJ4AX,7.22,2.0
2025-03-06,14:58:49,BIDT54LJDQB,CIDFEGHBK60,Completed,Auto,Thomasfort,West Douglas,12.29,9.94,No,No,None,None,Complete,None,725.38,Net Banking,10.76,3.0,3.3,DID6OFNHKIN,19.1,1.2
2025-04-27,08:15:32,BID7R1RERV9,CIDADKH55RT,Completed,Auto,Stanleyton,West Emily,10.48,7.42,No,No,None,None,Complete,None,536.48,Net Banking,23.2,3.8,4.5,DID79OC3R9L,12.19,1.0
2024-06-13,00:00:17,BIDM4X9ILAA,CID4B5I40WD,Cancelled,Mini,Coreyburgh,Seanburgh,15.43,11.22,Yes,No,Driver delayed,None,Complete,None,638.14,Wallet,41.93,3.8,4.3,DIDHUYK8Y9Y,19.4,1.2
2024-07-05,02:52:39,BIDI9VA5ZP8,CIDVHB9X4KS,Completed,Bike,New Harold,Port Carltown,9.44,3.86,No,No,None,None,Complete,None,487.0,Wallet,32.54,3.1,3.7,DIDVNQHCA4L,16.75,1.0
2025-02-25,23:48:43,BIDVD6ZVHW3,CIDY4VDVWSH,Completed,Mini,West Emily,Gibsonport,9.63,13.14,No,No,None,None,Complete,None,730.69,Credit Card,45.03,4.5,4.2,DIDMY8JEPOQ,16.2,1.5
2025-06-07,09:59:29,BIDWX8M9V09,CIDYB3ZWVJB,Cancelled,Auto,Jonathanland,New Kristin,18.21,14.29,No,Yes,None,None,Complete,None,161.98,UPI,37.36,3.1,3.8,DIDC1ZE0PCX,6.34,1.0
2024-10-13,20:14:47,BIDX6ZGOMT4,CIDYX3GBHDE,Completed,SUV,East Christopher,West Douglas,20.92,4.67,No,No,None,None,Complete,None,716.09,Net Banking,47.63,4.0,3.8,DIDTXC10OXJ,17.45,1.0
2024-10-10,03:37:09,BIDPNSD3SYP,CIDKURM1610,Incomplete,Mini,Cherylhaven,South Emmaview,18.14,5.7,No,No,None,None,Incomplete,Route closed,438.56,Credit Card,40.68,3.4,3.4,DIDPBXQ5J64,17.13,1.5
2024-10-19,22:37:31,BIDK3VQOFLE,CIDFR556ZQI,Completed,Mini,Thomasfort,Kimberlyfurt,26.32,9.83,No,No,None,None,Complete,None,237.45,Wallet,39.69,5.0,4.4,DID2GT6ALUV,17.51,2.0
2025-02-04,00:24:54,BIDFLKT35OV,CIDQNWN1F7G,Cancelled,Mini,West Douglas,North Brian,8.65,3.23,Yes,No,Other,None,Complete,None,353.88,Net Banking,12.34,3.7,4.9,DID3UIRGWEZ,7.46,1.2
2025-06-04,15:40:59,BIDQSE00HHB,CID43WYW9GK,Completed,Sedan,New Harold,Port Jeremyberg,24.44,10.77,No,No,None,None,Complete,None,615.06,Net Banking,40.22,4.0,4.6,DID2H5BYEXI,19.43,1.0
2025-01-30,12:18:35,BIDOYC1JDMT,CIDQKSJMH1X,Completed,Auto,Stephenmouth,Thomasfort,18.17,14.84,No,No,None,None,Complete,None,606.36,Net Banking,36.11,4.8,3.2,DIDAKYLN1P3,19.22,1.0
2024-08-03,15:20:26,BID4JCN4H8N,CID07U13F4S,Completed,Mini,East Austinberg,Samuelbury,8.61,12.8,No,No,None,None,Complete,None,281.47,Credit Card,16.96,4.2,4.1,DIDO2WJMMWZ,10.78,1.5
2024-06-20,04:20:54,BID8J3FE35O,CIDSLTWTV96,Cancelled,SUV,West Douglas,South Emmaview,14.9,9.94,Yes,No,Change of plans,None,Complete,None,661.01,Net Banking,46.5,4.7,4.9,DIDCPXC179V,17.13,1.5
2024-08-19,16:51:23,BIDD62YOTXH,CID1QNS2I81,Completed,Auto,Port Jeremyberg,Jonesberg,12.17,5.54,No,No,None,None,Complete,None,109.59,Wallet,41.76,4.5,4.1,DIDPINBHEDF,11.03,1.5
2025-03-04,03:19:58,BID8ZVAKDHG,CIDGGUS5D4B,Completed,Mini,West Douglas,Lake Matthewville,13.87,9.21,No,No,None,None,Complete,None,732.95,Net Banking,30.14,4.9,3.8,DIDKRWO4ASM,6.02,1.5
2025-06-03,00:54:14,BID2Z1QZW8G,CIDNIC7Z72X,Completed,Sedan,Kimberlyfurt,Coreyburgh,19.69,7.75,No,No,None,None,Complete,None,94.93,Credit Card,22.85,4.8,3.2,DIDL5KSEMED,2.77,1.0
2024-10-14,00:09:45,BIDRB9X84ZN,CIDQ0ME7BX5,Incomplete,Bike,Stanleyton,North Alejandrostad,17.29,10.65,No,No,None,None,Incomplete,Rider did not show,418.34,UPI,42.63,3.0,4.0,DIDIFB3D5O3,17.34,1.2
2024-09-08,00:22:12,BIDEUUVDRIH,CIDHJH4WBA1,Cancelled,Sedan,North Brian,Port Jeremyberg,11.45,12.26,Yes,No,Other,None,Complete,None,349.45,UPI,32.45,3.5,4.8,DID5WRZZ09F,15.96,1.5
2025-05-31,12:46:54,BIDUQMBGH1V,CID1Y3LROW2,Completed,Bike,Moorefurt,Stanleyton,20.49,4.7,No,No,None,None,Complete,None,137.15,UPI,44.8,4.1,3.8,DIDZNOWGAZD,1.9,1.0
2024-06-14,14:34:38,BIDWV43OWLN,CID7E0U5WQV,Completed,Mini,Davisland,New Barbarafort,6.84,1.49,No,No,None,None,Complete,None,462.75,Cash,10.47,5.0,3.8,DIDHRQMBJG8,15.72,1.0
2024-11-21,09:55:35,BIDK2CUG9MK,CIDCRK8S0FJ,Cancelled,Mini,Katieland,South Emmaview,10.12,14.17,Yes,No,Other,None,Complete,None,319.2,Cash,9.97,3.6,3.4,DIDFJ8S2JPW,7.35,1.5
2025-04-15,19:42:04,BIDOTE1LYBS,CID834GSYF5,Completed,Mini,New Harold,Thomasfort,8.14,5.29,No,No,None,None,Complete,None,554.81,Wallet,33.14,4.3,3.2,DIDO00TVY98,0.72,1.5
2024-08-25,15:29:12,BID0EM556GR,CID7PGFA70Z,Completed,Auto,North Alejandrostad,Davistown,24.29,14.9,No,No,None,None,Complete,None,684.85,Net Banking,16.94,5.0,4.7,DID3UG5LU7C,5.38,1.0
2025-01-06,23:52:52,BIDQMHLZU98,CID9UZCWMGQ,Cancelled,SUV,Stephenmouth,Robertsmouth,5.04,14.41,No,Yes,None,Other,Complete,None,231.34,UPI,17.15,3.2,3.6,DIDVKFL5OJM,6.81,2.0
2024-08-20,23:48:47,BIDMYXX4BKV,CIDPL7I9PH2,Completed,Bike,Rhodesbury,New Harold,15.0,7.49,No,No,None,None,Complete,None,418.89,UPI,38.13,4.6,3.8,DIDDBDWG1IH,0.76,1.0
2024-10-23,02:59:07,BIDVUK73OQ9,CIDKNYFMKAP,Completed,Bike,New Harold,Cherylhaven,18.5,3.21,No,No,None,None,Complete,None,481.83,Cash,46.7,4.4,3.2,DIDOD9QO7RT,9.49,1.2
2025-03-13,02:18:54,BIDUN9LBJYB,CID1TY512CB,Completed,Mini,Andreachester,Lake Lisatown,20.35,8.21,No,No,None,None,Complete,None,312.79,Wallet,39.65,4.5,4.8,DIDWJ3BQ6SL,12.48,1.5
2024-07-03,00:21:49,BIDFA1ZRPLQ,CID45ZS4LV0,Completed,Sedan,Christinafurt,Port Jeremyberg,21.39,3.36,No,No,None,None,Complete,None,524.35,Net Banking,14.89,3.7,3.3,DIDFW1VGNV8,2.65,1.0
2025-05-17,14:41:57,BIDP2HRBJS3,CIDL0XGNEF7,Completed,Auto,Kennethburgh,Seanburgh,25.08,7.98,No,No,None,None,Complete,None,410.98,Credit Card,32.41,4.6,4.5,DIDUNW6C0DJ,5.84,1.0
2025-05-16,15:30:38,BIDGRA1C9KN,CIDJW1XXMOP,Completed,Mini,Kimberlyfurt,Davisland,5.27,9.22,No,No,None,None,Complete,None,279.67,Cash,32.55,4.1,3.2,DID8S7OXMPS,7.12,2.0
2025-01-07,03:24:09,BIDKDG0V12K,CIDKRA4JQQS,Cancelled,SUV,Katieland,Seanburgh,11.52,9.42,No,Yes,None,Other,Complete,None,584.4,Cash,38.99,3.2,3.9,DIDMY65SVGA,13.17,1.0
2024-07-16,13:34:25,BIDJHAXKTDV,CID2HMV7O0S,Completed,Bike,Kimberlyfurt,Davistown,23.57,3.67,No,No,None,None,Complete,None,379.84,Cash,22.55,4.6,4.3,DIDFN5XSR1Z,15.31,1.5
2025-02-28,12:50:43,BIDH7SXRTFP,CIDOI211FMZ,Completed,Sedan,Stephenmouth,Samuelbury,5.43,2.23,No,No,None,None,Complete,None,539.38,Cash,22.06,3.6,3.7,DID22DODJ1I,15.45,1.0
2024-06-15,05:00:22,BIDE0F7JG0B,CID9OC0Y1AM,Completed,Sedan,Kimberlyfurt,Stanleyton,23.84,1.15,No,No,None,None,Complete,None,468.4,Credit Card,37.17,3.7,3.9,DIDH06HQ9DM,1.63,2.0
2025-04-29,13:09:26,BIDJ0V0C314,CIDLWQCG6JJ,Completed,Sedan,Simpsontown,New Leslieville,15.02,9.09,No,No,None,None,Complete,None,585.74,Wallet,47.71,3.8,4.1,DID1LNYJAZ0,19.05,1.5
2025-01-03,00:26:40,BID4FFUQJHE,CIDIBC4THDH,Completed,Auto,New Leslieville,Stephenmouth,13.22,1.43,No,No,None,None,Complete,None,181.37,Net Banking,7.65,3.5,3.3,DID6ZVCVE5L,1.81,1.5
2024-08-05,03:21:08,BIDARHSFVGR,CIDLW0JN99F,Completed,SUV,Davisland,South Anthonymouth,28.93,3.68,No,No,None,None,Complete,None,698.1,Wallet,33.25,3.7,3.3,DID54JQJYV3,7.43,1.0
